Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,TE5,Tyler Higbee,TE,LAR,87.3,77,97.6,9.29,35,29.7,0.281,6,157,2.52,NA,14,NA,106,17.3,4.59,Q,139
0,TE6,Gerald Everett,TE,LAC,83.8,58.4,103,18.7,81,26.2,0.678,7,157,2.87,NA,18,NA,250,47.9,9.16,O,140
0,TE7,Robert Tonyan,TE,GB,79.4,68.2,101,4.14,29,21.8,4.66,7,157,3.06,Q,22,5,NA,NA,NA,NA,141
0,TE8,Evan Engram,TE,JAC,74.7,61.2,91.6,16.7,87,17.1,2.21,8,157,2.95,NA,23,,,,,,142
0,QB6,Daniel Jones,QB,NYG,322,281,353,36.6,90,-104,14.9,8,158,4.91,NA,25,NA,8.77,5.55,3.69,NA,999
0,QB7,Baker Mayfield,QB,CAR,295,220,338,38.5,94,-131,16,9,159,5.91,NA,28,NA,85.1,17.1,3.29,NA,999
0,TE9,Hayden Hurst,TE,CIN,71,55.3,87.9,17.3,90,13.4,9.16,9,160,3.54,NA,25,,,,,,143
0,QB8,Zach Wilson,QB,NYJ,303,247,322,21.2,81,-123,7.8,9,165,6.38,Q,27,NA,104,25.2,7.69,NA,999
0,TE10,Cameron Brate,TE,TB,61.8,34.3,99,15,97,4.19,1.65,9,165,2.76,NA,26,,,,,,144
0,WR2,Marvin Jones,WR,JAC,104,73.6,125,16.2,86,-1.95,0.341,8,167,4.93,NA,53,NA,74.2,14.6,5.3,NA,145
91,,DOnta Foreman,RB,CAR,64.8,48.5,92.2,13.9,63,-38.9,4.63,14,167,1.86,NA,56,,,,,,146
0,RB2,Chuba Hubbard,RB,CAR,52.9,23.8,88.5,21.2,89,-50.8,7.8,15,167,2.91,NA,62,,,,,,147
0,WR3,Corey Davis,WR,NYJ,96.6,76.1,129,18.9,84,-8.91,0.572,9,169,3.55,NA,60,3,NA,NA,3.91,NA,148
0,QB9,Davis Mills,QB,HOU,307,272,338,35.2,87,-119,3.9,8,175,7.4,NA,26,NA,94.8,11.7,3.71,Q,999
0,RB3,Sony Michel,RB,MIA,59.3,37.4,91.7,13.5,68,-44.5,6.28,14,175,2.37,NA,60,,,,,,149
0,TE11,Austin Hooper,TE,TEN,72.5,56.5,85.4,8.26,61,14.9,1.54,8,177,2.31,NA,24,,,,,,150
0,TE12,Kyle Rudolph,TE,TB,53.6,33.6,75.5,25.5,99,-3.99,0,10,179,3.72,NA,32,,,,,,151
0,TE13,Logan Thomas,TE,WAS,81,67.8,104,11.1,84,23.4,1.65,7,180,2.39,O,21,4,NA,NA,4.39,NA,152
0,QB10,Marcus Mariota,QB,ATL,279,217,338,47.4,97,-147,19.1,10,186,6.6,NA,29,NA,226,58.4,7.56,NA,999
103,,Gus Edwards,RB,BAL,86.4,69.2,115,15.9,76,-17.3,4.23,13,187,3.13,O,49,1,NA,NA,2.96,NA,153
0,WR4,Donovan Peoples-Jones,WR,CLE,95.2,69.3,115,21.2,89,-10.3,2.44,9,191,2.48,NA,62,NA,42.5,8.26,3.65,NA,154
0,RB4,Rex Burkhead,RB,HOU,74,60.3,119,15.5,83,-29.7,5.61,13,203,2.73,NA,54,,,,,,155
0,TE14,Brevin Jordan,TE,HOU,60.1,50.5,77.7,6.64,68,2.54,1.58,9,203,1.93,NA,27,,,,,,156
0,RB5,Damien Williams,RB,ATL,53,25.5,87.7,10.6,60,-50.7,0.0801,14,211,2.11,NA,61,,,,,,157
