Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,DB13,Malcolm Butler,DB,ARI,89.6,11.6,0.8,82.2,98.1,-6.57,-8.46,-3.56,141,165,134,21,4,NA,NA,5.95,NA,999
0,DB14,Justin Reid,DB,HOU,88.8,1.84,0.925,87.4,90,-7.37,-3.19,-11.7,146,139,169,22,4,NA,NA,2.77,NA,999
139,,Chandler Jones,LB,ARI,88.4,4.81,0.577,84.8,91.4,-19.4,-15.5,-19.1,215,195,217,24,5,NA,NA,3.82,NA,999
0.33,,Marlon Humphrey,DB,BAL,87.9,0.566,0.674,87.5,88.3,-8.3,-3.13,-13.4,149,138,182,23,4,NA,NA,2.36,Q,999
0,LB16,Micah Kiser,LB,LAR,87.8,14.9,0.0353,78.2,98.7,-20,-22,-11.8,222,228,171,25,5,NA,NA,6.23,NA,999
0,LB17,Anthony Walker,LB,CLE,87.7,10.3,0.372,80.2,94.3,-20,-20.1,-16.2,223,220,197,26,5,NA,NA,5.14,NA,999
0.34,,T.J. Watt,LB,PIT,87.4,15.1,0.44,77.7,98.4,-20.4,-22.5,-12.1,224,235,174,27,5,NA,NA,6.26,NA,999
0,DB15,Harrison Smith,DB,MIN,87.2,8.7,0.679,81.6,93.6,-8.97,-9.01,-8.09,155,170,154,24,5,NA,NA,5.01,NA,999
133,,Danielle Hunter,DL,MIN,87,11.5,7.01,78.6,94.3,13.3,12.4,13.9,84,91,83,1,1,NA,NA,6.91,NA,999
0,LB18,A.J. Johnson,LB,DEN,86.9,2.4,0.697,85.2,88.5,-20.8,-15.1,-22.1,230,192,233,28,5,NA,NA,3.25,NA,999
0,DB16,Kareem Jackson,DB,DEN,86.5,2.26,2.02,84.9,88,-9.65,-5.78,-13.7,157,152,184,25,5,NA,NA,2.91,NA,999
